student,professor,score,reasons
James Rodriguez,Steven Parker,30,matched desired role: Grader
James Rodriguez,Beth Taylor,30,matched desired role: Grader
James Rodriguez,Chelsea Wallace,30,matched desired role: Grader
James Rodriguez,Jessica Wood,30,matched desired role: Grader
James Rodriguez,Kimberly Friedman,30,matched desired role: Grader
James Rodriguez,Michael Matthews,30,matched desired role: Grader
James Rodriguez,Scott Foster PhD,30,matched desired role: Grader
James Rodriguez,Shawn Medina,30,matched desired role: Grader
James Rodriguez,Jason Smith,40,shared interest in Genomics
James Rodriguez,Mercedes Francis,30,matched desired role: Grader
James Rodriguez,Shannon Reyes,70,shared interest in Genomics; matched desired role: Grader
James Rodriguez,John Dawson,30,matched desired role: Grader
James Rodriguez,Jeanne Clark,30,matched desired role: Grader
James Rodriguez,Victoria Oliver,30,matched desired role: Grader
James Rodriguez,Alan Butler,30,matched desired role: Grader
James Rodriguez,Diana Parker,30,matched desired role: Grader
James Rodriguez,Michael Soto,30,matched desired role: Grader
James Rodriguez,Roberto Delgado,30,matched desired role: Grader
James Rodriguez,Courtney Pitts,30,matched desired role: Grader
James Rodriguez,Brenda Thomas,30,matched desired role: Grader
James Rodriguez,Betty Silva,40,shared interest in Genomics
James Rodriguez,Stephanie Hall,30,matched desired role: Grader
James Rodriguez,Jane Mckenzie,40,shared interest in Genomics
James Rodriguez,Paul Robinson,30,matched desired role: Grader
James Rodriguez,Jamie Bowen,30,matched desired role: Grader
James Rodriguez,Anthony Ruiz,30,matched desired role: Grader
James Rodriguez,Christopher Bennett,30,matched desired role: Grader
James Rodriguez,Rebecca Terry,30,matched desired role: Grader
James Rodriguez,Andrea Hart,40,shared interest in Genomics
James Rodriguez,Bradley Elliott,30,matched desired role: Grader
James Rodriguez,Heather Mckinney,30,matched desired role: Grader
James Rodriguez,Brenda Marquez,70,shared interest in Genomics; matched desired role: Grader
Ms. Linda Smith,Christopher Smith,30,matched desired role: RA
Ms. Linda Smith,Steven Parker,40,shared interest in Climate Change Modeling
Ms. Linda Smith,Beth Taylor,30,matched desired role: RA
Ms. Linda Smith,Christopher Lee DVM,30,matched desired role: RA
Ms. Linda Smith,Scott Foster PhD,30,matched desired role: RA
Ms. Linda Smith,Shawn Medina,40,shared interest in Climate Change Modeling
Ms. Linda Smith,Mercedes Francis,30,matched desired role: RA
Ms. Linda Smith,Casey Nunez,30,matched desired role: RA
Ms. Linda Smith,Shannon Reyes,30,matched desired role: RA
Ms. Linda Smith,Jeanne Clark,30,matched desired role: RA
Ms. Linda Smith,Victoria Oliver,30,matched desired role: RA
Ms. Linda Smith,Adrienne Miles,30,matched desired role: RA
Ms. Linda Smith,Jennifer Harper,30,matched desired role: RA
Ms. Linda Smith,Tony Singh,30,matched desired role: RA
Ms. Linda Smith,Marie Wilkinson,30,matched desired role: RA
Ms. Linda Smith,Roberto Delgado,30,matched desired role: RA
Ms. Linda Smith,Patrick Dillon,30,matched desired role: RA
Ms. Linda Smith,Karen Price,40,shared interest in Climate Change Modeling
Ms. Linda Smith,Brenda Thomas,30,matched desired role: RA
Ms. Linda Smith,Stephanie Hall,40,shared interest in Climate Change Modeling
Ms. Linda Smith,Paul Robinson,40,shared interest in Climate Change Modeling
Shirley Hill,Christopher Smith,30,matched desired role: RA
Shirley Hill,Beth Taylor,30,matched desired role: RA
Shirley Hill,Christopher Lee DVM,30,matched desired role: RA
Shirley Hill,Scott Foster PhD,35,skill overlap: Natural Language Processing; matched desired role: RA
Shirley Hill,Mercedes Francis,30,matched desired role: RA
Shirley Hill,Casey Nunez,35,skill overlap: Natural Language Processing; matched desired role: RA
Shirley Hill,Shannon Reyes,30,matched desired role: RA
Shirley Hill,Jeanne Clark,30,matched desired role: RA
Shirley Hill,Victoria Oliver,30,matched desired role: RA
Shirley Hill,Adrienne Miles,30,matched desired role: RA
Shirley Hill,Jennifer Harper,30,matched desired role: RA
Shirley Hill,Tony Singh,30,matched desired role: RA
Shirley Hill,Marie Wilkinson,30,matched desired role: RA
Shirley Hill,Jessica Davis,5,skill overlap: Natural Language Processing
Shirley Hill,Joshua Ross,5,skill overlap: Natural Language Processing
Shirley Hill,Roberto Delgado,30,matched desired role: RA
Shirley Hill,Patrick Dillon,30,matched desired role: RA
