student,professor,score,matched_role,student_role
Jonathan Ballard,Michael Matthews,0.56,['Grader'],Grader
Pamela Baxter,Ashley Washington,0.52,['TA'],TA
Jonathan Ballard,Jessica Wood,0.49,"['TA', 'Grader']",Grader
Joseph Smith,Jessica Wood,0.49,"['TA', 'Grader']",Grader
Charles Jackson,Jessica Wood,0.49,"['TA', 'Grader']",Grader
Mr. Walter Henson DDS,Steven Parker,0.49,"['Grader', 'TA']",TA
Andrea Roy,Michael Matthews,0.48,['Grader'],Grader
Pamela Baxter,Jessica Wood,0.44,"['TA', 'Grader']",TA
Harold Rogers,Ashley Washington,0.44,['TA'],TA
Joshua Mooney,Michael Matthews,0.44,['Grader'],Grader
Juan Burke,Ashley Washington,0.41,['TA'],TA
Melinda Fowler,Steven Parker,0.41,"['Grader', 'TA']",TA
Laura Moore,Steven Parker,0.41,"['Grader', 'TA']",TA
Barbara Fry,Jessica Wood,0.41,"['TA', 'Grader']",TA
Chelsea Bailey,Jessica Wood,0.41,"['TA', 'Grader']",Grader
Travis Collins,Jessica Wood,0.41,"['TA', 'Grader']",TA
Matthew Mckinney,Steven Parker,0.41,"['Grader', 'TA']",TA
Clinton Howard,Jessica Wood,0.41,"['TA', 'Grader']",TA
Kevin Castaneda DDS,Steven Parker,0.41,"['Grader', 'TA']",Grader
Laura Gray,Steven Parker,0.41,"['Grader', 'TA']",TA
Chelsea Bailey,Michael Matthews,0.4,['Grader'],Grader
David Wolfe,Michael Matthews,0.4,['Grader'],Grader
Rebekah White,Michael Matthews,0.4,['Grader'],Grader
Diana Ross,Jessica Wood,0.37,"['TA', 'Grader']",RA
Ryan Collins Jr.,Jessica Wood,0.36,"['TA', 'Grader']",Grader
Ryan Freeman,Steven Parker,0.36,"['Grader', 'TA']",TA
Mr. Walter Henson DDS,Kimberly Friedman,0.36,"['TA', 'Grader']",TA
Emily Chang,Kimberly Friedman,0.36,"['TA', 'Grader']",TA
David Mills,Jessica Wood,0.36,"['TA', 'Grader']",TA
Joshua Mooney,Jessica Wood,0.36,"['TA', 'Grader']",Grader
Joshua Mooney,Steven Parker,0.36,"['Grader', 'TA']",Grader
Joshua Mooney,Kimberly Friedman,0.36,"['TA', 'Grader']",Grader
Angela Salazar,Ashley Washington,0.36,['TA'],TA
Harold Rogers,Jessica Wood,0.36,"['TA', 'Grader']",TA
Angela Salazar,Jessica Wood,0.36,"['TA', 'Grader']",TA
Caitlyn Nelson,Kimberly Friedman,0.36,"['TA', 'Grader']",TA
Todd Bowen,Michael Matthews,0.36,['Grader'],Grader
Christopher Ferguson,Jessica Wood,0.36,"['TA', 'Grader']",TA
Christopher Ferguson,Ashley Washington,0.36,['TA'],TA
Samantha Gonzales,Steven Parker,0.36,"['Grader', 'TA']",TA
Brian Austin,Jessica Wood,0.36,"['TA', 'Grader']",TA
Jonathan Ballard,Steven Parker,0.36,"['Grader', 'TA']",Grader
Austin Landry DDS,Michael Matthews,0.36,['Grader'],Grader
David Brock,Kimberly Friedman,0.36,"['TA', 'Grader']",Grader
Douglas Rhodes,Michael Matthews,0.36,['Grader'],Grader
Sandra Gomez MD,Steven Parker,0.36,"['Grader', 'TA']",TA
Chad Arroyo,Jessica Wood,0.36,"['TA', 'Grader']",Grader
Pamela Baxter,Kimberly Friedman,0.36,"['TA', 'Grader']",TA
Alexandria Owens,Jessica Wood,0.36,"['TA', 'Grader']",Grader
