student_name,student_email,professor_name,professor_email,desired_role,matched_role,compatibility_score
Lisa Stone,katelynbarton@example.com,Christopher Smith,louis48@barrett.biz,Grader,"['RA', 'TA']",0.0
Lisa Stone,katelynbarton@example.com,Steven Parker,kaylakelly@gonzalez.com,Grader,"['Grader', 'TA']",20.0
Lisa Stone,katelynbarton@example.com,Beth Taylor,dianaorozco@dunn-flores.info,Grader,"['RA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Chelsea Wallace,joshuabuck@howard.info,Grader,"['Grader', 'TA']",20.0
Lisa Stone,katelynbarton@example.com,Jessica Wood,jennifervasquez@gmail.com,Grader,"['TA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Kimberly Friedman,wendy61@yahoo.com,Grader,"['TA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Ashley Washington,catherineclark@palmer.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Michael Matthews,danielbenton@parker-peters.biz,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Nicole Payne,mserrano@scott-harris.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Christopher Lee DVM,dwayne21@gmail.com,Grader,"['TA', 'RA']",0.0
Lisa Stone,katelynbarton@example.com,Scott Foster PhD,justin30@beck-vaughn.org,Grader,"['RA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Jeffrey Weiss,royharper@yahoo.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Shawn Medina,michelledominguez@mccann.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Jason Smith,tarahardin@gmail.com,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Mercedes Francis,robinsonpamela@gmail.com,Grader,"['RA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Casey Nunez,ashleybaker@gmail.com,Grader,"['RA', 'TA']",0.0
Lisa Stone,katelynbarton@example.com,Shannon Reyes,elizabethraymond@villa-stewart.com,Grader,"['RA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,John Dawson,bautistachristopher@hotmail.com,Grader,"['Grader', 'TA']",20.0
Lisa Stone,katelynbarton@example.com,Jeanne Clark,elizabethmarshall@gmail.com,Grader,"['Grader', 'RA']",20.0
Lisa Stone,katelynbarton@example.com,Victoria Oliver,jenniferherrera@gmail.com,Grader,"['Grader', 'RA']",20.0
Lisa Stone,katelynbarton@example.com,Adrienne Miles,nwilliams@acevedo.com,Grader,"['RA', 'TA']",0.0
Lisa Stone,katelynbarton@example.com,Jennifer Harper,carrandrew@yahoo.com,Grader,['RA'],0.0
Lisa Stone,katelynbarton@example.com,Tony Singh,beth07@yahoo.com,Grader,['RA'],0.0
Lisa Stone,katelynbarton@example.com,Alan Butler,gonzaleztiffany@juarez-gibson.com,Grader,"['TA', 'Grader']",20.0
Lisa Stone,katelynbarton@example.com,Marie Wilkinson,gary45@gmail.com,Grader,['RA'],0.0
Lisa Stone,katelynbarton@example.com,Jessica Davis,amandacollins@lee.net,Grader,['TA'],0.0
Lisa Stone,katelynbarton@example.com,Diana Parker,wendymorris@haley.com,Grader,"['Grader', 'TA']",20.0
Lisa Stone,katelynbarton@example.com,Michael Soto,stephaniejoyce@yahoo.com,Grader,['Grader'],20.0
Lisa Stone,katelynbarton@example.com,Joshua Ross,paul91@gmail.com,Grader,['TA'],0.0
